"ID","AMBITO_NOMBRE","EMBALSE_NOMBRE","AGUA_TOTAL","ELECTRICO_FLAG"
453,"DUERO","ÁGUEDA",24,0
455,"DUERO","CERNADILLA",255,1
458,"TAJO","AZUTÁN",113,1
461,"EBRO","ALBIÑA",6,0
462,"EBRO","BÚBAL",64,0
465,"GALICIA COSTA","EUME",123,1
467,"CUENCAS INTERNAS DE CATALUÑA","SANT PONS",25,0
468,"EBRO","TERRADETS",33,1
471,"GUADALQUIVIR","FRANCISCO ABELLÁN",58,0
474,"GUADALQUIVIR","MELONARES, LOS",186,0
475,"GUADALQUIVIR","RUMBLAR",140,0
476,"GUADALQUIVIR","SAN RAFAEL DE NAVALLANA",157,0
478,"CUENCA MEDITERRÁNEA ANDALUZA","CONDE GUADALHORCE",83,0
487,"MIÑO - SIL","CONCHAS, LAS",80,1
488,"MIÑO - SIL","SEQUEIROS",11,1
489,"DUERO","BARRIOS DE LUNA",308,0
490,"DUERO","RÁBANOS",8,1
492,"TAJO","PÁLMACES",31,0
493,"TAJO","ROSARITO",93,0
495,"TAJO","VALDECAÑAS",1446,1
497,"SEGURA","CAMARILLAS",37,0
498,"SEGURA","CIERVA, LA",7,0
499,"SEGURA","ARGOS",11,0
502,"EBRO","NEGRO (LAGO)",6,1
503,"EBRO","SAN BARTOLOMÉ",6,0
506,"EBRO","SISTEMA ALTO CALDARÉS",18,1
508,"EBRO","SOBRÓN",20,1
509,"CANTÁBRICO OCCIDENTAL","ALFILORIOS",9,0
512,"GUADALQUIVIR","MARTÍN GONZALO",20,0
513,"GUADALQUIVIR","PINTADO, EL",215,0
514,"GUADALQUIVIR","QUIEBRAJANO",33,0
518,"GUADALQUIVIR","TRANCO DE BEAS",506,0
522,"GUADIANA","VEGA DEL JABALÓN",34,0
523,"TINTO. ODIEL Y PIEDRAS","CORUMBEL BAJO",19,0
524,"TINTO. ODIEL Y PIEDRAS","LOS MACHOS",12,0
525,"TINTO. ODIEL Y PIEDRAS","OLIVARGAS",29,0
528,"DUERO","CASARES DE ARBAS",37,0
529,"DUERO","SERONES",6,0
530,"TAJO","ACEÑA",24,0
532,"TAJO","BELEÑA",53,0
533,"TAJO","CASTRO, EL",8,0
534,"TAJO","NAVAMUÑO",14,0
536,"TAJO","VELLÓN,EL-(PEDREZUELA)",41,0
539,"SEGURA","VALDEINFIERNO",14,0
540,"JÚCAR","BENAGÉBER",228,0
541,"JÚCAR","BENIARRÉS",30,0
542,"JÚCAR","EL NARANJERO",29,0
544,"JÚCAR","LA MUELA",29,1
545,"JÚCAR","LA TOBA",11,1
546,"JÚCAR","SICHAR",49,0
547,"JÚCAR","MARÍA CRISTINA",20,0
548,"EBRO","BRAMATUERO ALTO",5,1
549,"EBRO","ESCALES",152,1
550,"EBRO","ENCISO",46,1
551,"EBRO","ITOIZ",417,0
552,"GALICIA COSTA","FERVENZA",104,1
553,"GALICIA COSTA","RIBEIRA, A",33,1
554,"CUENCAS INTERNAS DE CATALUÑA","SAU",169,0
555,"GALICIA COSTA","RIOCOBO",6,0
556,"EBRO","VAL, EL",24,0
560,"CANTÁBRICO OCCIDENTAL","TANES",38,0
562,"GUADALQUIVIR","AGUASCEBAS",6,0
563,"GUADALQUIVIR","CANTILLANA",21,1
564,"GUADALQUIVIR","GUADALÉN",168,0
569,"CUENCA MEDITERRÁNEA ANDALUZA","GUADALHORCE-GUADALTEBA",312,0
570,"CUENCA MEDITERRÁNEA ANDALUZA","CUEVAS DE ALMANZORA",168,0
571,"GUADALETE-BARBATE","CELEMÍN",45,0
576,"GUADIANA","GARGÁLIGAS",21,0
577,"GUADIANA","LOS MOLINOS",34,0
579,"MIÑO - SIL","PEARES, OS",182,1
580,"MIÑO - SIL","SAN PEDRO",6,1
584,"DUERO","VILLALCAMPO",66,1
586,"TAJO","GABRIEL Y GALÁN",924,0
588,"TAJO","JAROSA, LA",7,0
589,"TAJO","PARDO, EL",45,0
590,"TAJO","PUENTES VIEJAS",53,0
591,"TAJO","TORREJÓN (TAJO - TIETAR)",188,1
593,"SEGURA","ALGECIRAS",45,0
596,"JÚCAR","ARQUILLO DE SAN BLAS",22,0
598,"JÚCAR","ESCALONA",99,0
600,"EBRO","ALLOZ",84,0
601,"EBRO","CASPE",82,0
602,"EBRO","CAÑÓN DE SANTOLEA",82,0
603,"EBRO","SABURO (LAGO)",11,1
604,"EBRO","PARRAS (LAS)",5,0
605,"EBRO","URRUNAGA",72,1
606,"CUENCAS INTERNAS DE CATALUÑA","LA LLOSA DEL CAVALL",80,0
608,"CUENCAS INTERNAS DE CATALUÑA","CATLLAR",59,0
609,"CUENCAS INTERNAS DE CATALUÑA","FOIX",6,0
610,"EBRO","SISTEMA ESCARRA",5,1
611,"EBRO","TORCAS, LAS",7,0
612,"CANTÁBRICO OCCIDENTAL","DOIRAS",119,1
613,"CANTÁBRICO OCCIDENTAL","SOMIEDO (LAGOS)",9,1
615,"GUADALQUIVIR","AGRIO (AZNALCOLLAR)",40,0
618,"GUADALQUIVIR","IZNÁJAR",981,0
621,"GUADALQUIVIR","ZOCUECA",5,0
623,"GUADALETE-BARBATE","ARCOS DE LA FRONTERA",14,0
624,"GUADALETE-BARBATE","BORNOS",204,0
626,"GUADIANA","HORNO TEJERO",24,0
627,"GUADIANA","GASSET",42,0
628,"GUADIANA","ORELLANA",824,0
630,"GUADIANA","TORRE DE ABRAHÁN",183,0
631,"MIÑO - SIL","MATALAVILLA",65,1
632,"MIÑO - SIL","PRADA",122,1
638,"DUERO","RIAÑO",664,0
639,"DUERO","VILLAGONZALO",6,0
640,"DUERO","VALPARAÍSO",169,1
641,"TAJO","ALCORLO",180,0
644,"TAJO","NAVALCÁN",34,0
645,"TAJO","TAJERA, LA",70,0
646,"JÚCAR","ALARCÓN",1118,0
648,"EBRO","BACHIMAÑA (LAGO)",7,0
649,"EBRO","ALCAÑIZ (ESTANCA)",7,0
650,"EBRO","MAIDEVERA",21,0
653,"CUENCAS INTERNAS DE CATALUÑA","SUSQUEDA",233,0
654,"GALICIA COSTA","BARRIE DE LA MAZA",31,1
656,"GALICIA COSTA","EIRAS",22,0
657,"EBRO","TREMP Ó TALÁRN",227,1
658,"GUADALQUIVIR","COLOMERA",42,0
659,"GUADALQUIVIR","GERGAL",36,0
660,"GUADALQUIVIR","MINILLA, LA",60,0
665,"GUADALQUIVIR","YEGUAS",229,0
669,"GUADIANA","CORNALBO",11,0
670,"GUADIANA","CIJARA",1505,0
672,"GUADIANA","LA COLADA",58,0
673,"GUADIANA","NOGALES",18,0
674,"GUADIANA","PROSERPINA",5,0
676,"MIÑO - SIL","SAN SEBASTIÁN",46,1
677,"DUERO","PORMA-(JUAN BENET)",318,0
678,"DUERO","SAUCELLE",181,1
679,"DUERO","SANTA TERESA",496,0
680,"TAJO","ALMOGUERA",7,1
681,"TAJO","GUAJARAZ",18,0
683,"SEGURA","CENAJO",472,0
685,"JÚCAR","TOUS - LA RIBERA",379,0
687,"EBRO","MEDIANO",436,0
688,"EBRO","LECHAGO",18,0
690,"EBRO","RIBARROJA",210,1
692,"EBRO","TORT (LAGO)",7,1
693,"GUADALQUIVIR","ALCALÁ DEL RÍO",21,1
695,"GUADALQUIVIR","GUADALMELLATO",162,0
704,"CUENCA MEDITERRÁNEA ANDALUZA","CASASOLA",23,0
714,"TINTO. ODIEL Y PIEDRAS","ODIEL",8,0
715,"MIÑO - SIL","BAO",238,1
716,"MIÑO - SIL","SAN, ESTEVO",213,1
719,"DUERO","COMPUERTO",95,0
721,"DUERO","REQUEJADA",66,0
722,"TAJO","BORBOLLON",88,0
724,"TAJO","CAZALEGAS",11,0
725,"TAJO","CASTREJÓN",44,1
727,"TAJO","CEDILLO",260,1
729,"TAJO","RIOSEQUILLO",50,0
730,"TAJO","PORTAJE",23,0
731,"TAJO","TORCÓN",7,0
733,"JÚCAR","ALGAR",6,0
734,"JÚCAR","AMADORIO",16,0
735,"JÚCAR","BELLÚS",69,0
739,"EBRO","LAVERNÉ",38,0
741,"EBRO","PENA",19,0
743,"EBRO","SANTA MARÍA DE BELSUÉ",14,0
744,"GALICIA COSTA","VILLAGUDÍN",18,0
